class,rank,feature,coefficient,validation_documents_with_feature,predicted_as_class_with_feature,correct_predictions_with_feature,false_positives_with_feature,precision_when_feature_and_prediction
Storage,3,wants,7.801493861957994,161,145,138,7,0.9517241379310345
Storage,4,storage,7.530799268836062,180,68,61,7,0.8970588235294118
Storage,14,accept,4.241442573417037,216,149,142,7,0.9530201342281879
Internal Project,12,forecast,2.783600560460543,69,25,18,7,0.72
Storage,5,shared,6.969672495587573,149,82,76,6,0.926829268292683
Access,11,cards,5.541865059749583,143,44,38,6,0.8636363636363636
Miscellaneous,10,approver,4.88833162439286,140,70,64,6,0.9142857142857143
HR Support,8,leaver,4.805381264555302,196,142,136,6,0.9577464788732394
Miscellaneous,13,mailing,3.907824255340021,54,51,45,6,0.8823529411764706
Purchase,11,receive,3.240732308836748,594,255,249,6,0.9764705882352941
Internal Project,4,pipeline,9.13183566335703,60,50,45,5,0.9
Storage,6,folders,6.0868157175243125,69,46,41,5,0.8913043478260869
Internal Project,10,opportunity,3.8498093915275455,82,41,36,5,0.8780487804878049
Hardware,7,cable,3.681029462434787,122,95,90,5,0.9473684210526315
HR Support,15,week,3.49622097349742,198,117,112,5,0.9572649572649573
Internal Project,15,projects,2.648695074254387,77,11,6,5,0.5454545454545454
HR Support,1,starter,7.744833928787587,430,391,387,4,0.989769820971867
Access,8,repository,7.43288263374722,85,73,69,4,0.9452054794520548
Storage,11,archive,4.455622044323326,42,25,21,4,0.84
Hardware,3,room,4.387122648204829,126,114,110,4,0.9649122807017544
HR Support,13,transfer,3.5464055562202943,138,57,53,4,0.9298245614035088
Purchase,12,item,3.209895221179032,312,233,229,4,0.9828326180257511
Administrative rights,13,calendar,3.043909742832897,84,14,10,4,0.7142857142857143
Hardware,14,certificate,2.8512429452015784,47,42,38,4,0.9047619047619048
Hardware,1,monitor,7.223362827144334,204,161,158,3,0.9813664596273292
Access,13,locked,5.370291675668712,73,43,40,3,0.9302325581395349
Purchase,7,devices,4.457891215157512,65,10,7,3,0.7
Administrative rights,8,assets,4.225147703186892,101,29,26,3,0.896551724137931
Internal Project,8,import,3.8859819937194686,49,20,17,3,0.85
Purchase,10,allocation,3.8134653625359625,231,170,167,3,0.9823529411764705
Internal Project,11,known,3.54534364083577,61,30,27,3,0.9
HR Support,14,hours,3.518560131607165,105,54,51,3,0.9444444444444444
Purchase,13,requisitions,2.890321194769616,12,5,2,3,0.4
Access,7,git,7.794001865845575,79,68,66,2,0.9705882352941176
HR Support,10,timecard,4.67627074417284,123,107,105,2,0.9813084112149533
Access,15,licenses,4.548502550416819,44,32,30,2,0.9375
Storage,15,share,4.028904832983677,158,44,42,2,0.9545454545454546
HR Support,12,area,3.60506850222464,144,72,70,2,0.9722222222222222
Internal Project,14,template,2.698679189817427,74,23,21,2,0.9130434782608695
Storage,12,increase,4.453864705443585,83,61,60,1,0.9836065573770492
Administrative rights,7,exchange,4.437490404458007,20,4,3,1,0.75
Storage,13,size,4.355684713319003,75,48,47,1,0.9791666666666666
Internal Project,9,unknown,3.881524972162844,27,8,7,1,0.875
Purchase,9,receipt,3.832159511913449,58,48,47,1,0.9791666666666666
Hardware,9,backpack,3.1446842194052214,42,28,27,1,0.9642857142857143
Internal Project,7,pipelines,4.723014503815978,9,6,6,0,1.0
Storage,9,mailboxes,4.64249109785136,9,4,4,0,1.0
Hardware,8,ram,3.2344812758709374,24,14,14,0,1.0
Hardware,11,calls,3.013667973633828,71,55,55,0,1.0
Purchase,14,items,2.797909350432777,148,66,66,0,1.0
Internal Project,13,pipe,2.756607250136621,5,1,1,0,1.0
