class,rank,feature,coefficient,validation_documents_with_feature,predicted_as_class_with_feature,correct_predictions_with_feature,false_positives_with_feature,precision_when_feature_and_prediction
Internal Project,5,setup,7.050830108795681,206,87,79,8,0.9080459770114943
HR Support,7,annual,5.323042604454162,229,160,152,8,0.95
Miscellaneous,9,contract,5.169818414233434,100,48,40,8,0.8333333333333334
Administrative rights,5,software,5.042840005074619,273,62,54,8,0.8709677419354839
Administrative rights,11,problems,3.0154845675435817,170,23,15,8,0.6521739130434783
Access,1,confluence,13.36243372894982,316,289,282,7,0.9757785467128027
HR Support,1,starter,8.356975022219732,430,396,389,7,0.9823232323232324
Purchase,3,installation,6.904746826952257,249,155,148,7,0.9548387096774194
Access,14,reset,4.782260473311461,170,149,142,7,0.9530201342281879
Miscellaneous,15,approvals,3.648953648432125,58,44,37,7,0.8409090909090909
Storage,1,folder,12.634820262586198,208,148,142,6,0.9594594594594594
Access,10,cards,5.858091700709861,143,43,37,6,0.8604651162790697
HR Support,8,leaver,5.216998903546388,196,143,137,6,0.958041958041958
Storage,8,permissions,4.953777687134972,184,42,36,6,0.8571428571428571
Miscellaneous,13,mailing,4.008174338258538,54,51,45,6,0.8823529411764706
Hardware,8,cable,3.884069901370444,122,98,92,6,0.9387755102040817
HR Support,15,week,3.820835256435925,198,121,115,6,0.9504132231404959
Hardware,13,certificate,3.171853936228235,47,45,39,6,0.8666666666666667
Administrative rights,13,server,2.837679301066308,189,11,5,6,0.45454545454545453
Administrative rights,15,app,2.734229299173593,129,22,16,6,0.7272727272727273
Internal Project,12,forecast,2.623896816462719,69,23,17,6,0.7391304347826086
Internal Project,13,attached,2.537726645565884,1048,123,117,6,0.9512195121951219
Storage,2,mailbox,11.468050960985158,276,125,120,5,0.96
Storage,3,wants,7.407870938971572,161,143,138,5,0.965034965034965
Purchase,5,device,5.7937164999702,187,82,77,5,0.9390243902439024
Storage,14,accept,4.095257656034371,216,147,142,5,0.9659863945578231
HR Support,14,transfer,3.860108189388428,138,59,54,5,0.9152542372881356
Administrative rights,10,version,3.7485565859876018,164,45,40,5,0.8888888888888888
Hardware,14,documents,3.1440661899841253,66,43,38,5,0.8837209302325582
Purchase,11,receive,2.825813148987501,594,253,248,5,0.9802371541501976
Access,8,repository,7.61040420295608,85,70,66,4,0.9428571428571428
Storage,4,storage,7.130412453250203,180,60,56,4,0.9333333333333333
Storage,6,folders,5.876711153446502,69,43,39,4,0.9069767441860465
Miscellaneous,10,approver,5.015448161926373,140,69,65,4,0.9420289855072463
Hardware,3,room,4.598338676006378,126,116,112,4,0.9655172413793104
Storage,10,file,4.3387463502423,291,38,34,4,0.8947368421052632
Internal Project,4,pipeline,8.538200464988833,60,48,45,3,0.9375
Hardware,1,monitor,7.762379047925739,204,165,162,3,0.9818181818181818
Storage,5,shared,6.742542656778512,149,79,76,3,0.9620253164556962
Access,12,locked,5.646701232023294,73,43,40,3,0.9302325581395349
Storage,7,files,4.997223923396579,190,49,46,3,0.9387755102040817
HR Support,12,area,3.898709729071236,144,74,71,3,0.9594594594594594
HR Support,13,hours,3.891651442125696,105,56,53,3,0.9464285714285714
Internal Project,9,opportunity,3.612108277257031,82,38,35,3,0.9210526315789473
Administrative rights,14,again,2.786992253420195,318,16,13,3,0.8125
Purchase,13,item,2.779988086275817,312,232,229,3,0.9870689655172413
HR Support,10,timecard,5.063004713639739,123,107,105,2,0.9813084112149533
Access,15,licenses,4.724727927674315,44,31,29,2,0.9354838709677419
Storage,13,archive,4.11076183303205,42,23,21,2,0.9130434782608695
HR Support,11,bucharest,3.90153506569552,80,60,58,2,0.9666666666666667
Purchase,10,allocation,3.497601348990847,231,168,166,2,0.9880952380952381
Internal Project,11,known,3.352194878911341,61,28,26,2,0.9285714285714286
Hardware,11,calls,3.234695052242268,71,59,57,2,0.9661016949152542
Administrative rights,12,calendar,2.863446101706289,84,11,9,2,0.8181818181818182
Purchase,12,replenishment,2.788660755992721,35,33,31,2,0.9393939393939394
Purchase,15,requisitions,2.730779900801521,12,4,2,2,0.5
Internal Project,15,template,2.430612050871244,74,23,21,2,0.9130434782608695
Access,7,git,8.147512904015304,79,66,65,1,0.9848484848484849
Storage,11,increase,4.28067396254805,83,58,57,1,0.9827586206896551
Storage,12,size,4.123284013991828,75,47,46,1,0.9787234042553191
Purchase,7,devices,4.0355573304794,65,7,6,1,0.8571428571428571
Administrative rights,8,assets,3.808425247785834,101,26,25,1,0.9615384615384616
Purchase,9,receipt,3.655387958771434,58,47,46,1,0.9787234042553191
Internal Project,10,unknown,3.58869106847382,27,8,7,1,0.875
Hardware,9,backpack,3.365273464367678,42,28,27,1,0.9642857142857143
Internal Project,7,pipelines,4.444243014844173,9,6,6,0,1.0
Storage,9,mailboxes,4.38217546708468,9,4,4,0,1.0
Administrative rights,7,exchange,4.14666038019385,20,3,3,0,1.0
Hardware,7,ram,3.901379113432098,24,17,17,0,1.0
Storage,15,share,3.895515359707832,158,38,38,0,1.0
Internal Project,8,import,3.729652473077441,49,17,17,0,1.0
