class,rank,feature,coefficient
Hardware,28,adapter,2.2318749414924395
Hardware,29,access,2.226618682171793
Hardware,30,upload,2.2007778287655584
Internal Project,1,code,13.305293769174016
Internal Project,2,project,9.356926353261784
Internal Project,3,codes,8.864684499635613
Internal Project,4,pipeline,8.538200464988833
Internal Project,5,setup,7.050830108795681
Internal Project,6,pas,5.4964582650508325
Internal Project,7,pipelines,4.444243014844173
Internal Project,8,import,3.729652473077441
Internal Project,9,opportunity,3.612108277257031
Internal Project,10,unknown,3.5886910684738202
Internal Project,11,known,3.352194878911341
Internal Project,12,forecast,2.623896816462719
Internal Project,13,attached,2.5377266455658836
Internal Project,14,oracle,2.4354273793377987
Internal Project,15,template,2.4306120508712437
Internal Project,16,client,2.379150314894814
Internal Project,17,pipe,2.321966974871601
Internal Project,18,projects,2.291947016020578
Internal Project,19,type,2.113661023995137
Internal Project,20,new,2.0895062538180644
Internal Project,21,let,1.9556467210608814
Internal Project,22,commercial,1.8316731477841826
Internal Project,23,fusion,1.7645710619160264
Internal Project,24,party,1.7267454476520407
Internal Project,25,costs,1.718131321448595
Internal Project,26,set,1.6991641240784519
Internal Project,27,create,1.6241661853330511
Internal Project,28,battery,1.5568250026909478
Internal Project,29,up,1.5399332648469086
Internal Project,30,form,1.5022506086263638
Miscellaneous,1,change,9.778764639867108
Miscellaneous,2,approval,8.872997512182657
Miscellaneous,3,add,7.686263623261966
Miscellaneous,4,approve,7.493796394147141
Miscellaneous,5,ticket,6.9292898286208064
Miscellaneous,6,groups,6.793670931982528
Miscellaneous,7,tickets,6.380980454776549
Miscellaneous,8,name,5.329076411869615
Miscellaneous,9,contract,5.169818414233434
Miscellaneous,10,approver,5.015448161926373
Miscellaneous,11,owner,4.789462332815693
Miscellaneous,12,approved,4.754106332647681
Miscellaneous,13,mailing,4.008174338258538
Miscellaneous,14,list,3.7620911512179225
Miscellaneous,15,approvals,3.648953648432125
Miscellaneous,16,members,3.3801152660105465
Miscellaneous,17,manager,3.3253577257083977
Miscellaneous,18,line,3.248507428850841
Miscellaneous,19,close,3.154063924901013
Miscellaneous,20,pending,3.1519944149255648
Miscellaneous,21,incidents,3.0917484665543555
Miscellaneous,22,approving,3.0301546586166275
Miscellaneous,23,incident,3.0245903056890278
Miscellaneous,24,ownership,2.993494075280099
Miscellaneous,25,changes,2.9872617983841936
Miscellaneous,26,flow,2.8826526028790176
Miscellaneous,27,reject,2.852661930430303
Miscellaneous,28,snow,2.8288077502860522
Miscellaneous,29,lists,2.79779542209784
Miscellaneous,30,member,2.7312843659478445
Purchase,1,purchase,8.991334477837228
Purchase,2,po,7.915173745752344
Purchase,3,installation,6.904746826952257
Purchase,4,administrator,6.599106860944036
Purchase,5,device,5.7937164999702
Purchase,6,log,4.821622560942971
Purchase,7,devices,4.0355573304794
Purchase,8,order,3.776481094949855
Purchase,9,receipt,3.655387958771434
Purchase,10,allocation,3.497601348990847
Purchase,11,receive,2.825813148987501
Purchase,12,replenishment,2.7886607559927215
Purchase,13,item,2.7799880862758175
Purchase,14,phone,2.7634554058117726
Purchase,15,requisitions,2.7307799008015206
Purchase,16,items,2.6765671982636072
Purchase,17,glass,2.4062749011370843
Purchase,18,reservation,2.1810655247748554
Purchase,19,cover,2.1802041957567693
Purchase,20,received,2.169037799293954
Purchase,21,galaxy,2.0723483017616133
Purchase,22,has,2.0045522452806885
Purchase,23,requested,1.973985356637909
Purchase,24,receipts,1.936463828362025
Purchase,25,purchased,1.888794744534631
Purchase,26,final,1.730425483618704
Purchase,27,id,1.6755824289686536
Purchase,28,requisition,1.5694320993535245
Purchase,29,video,1.557261440528386
Purchase,30,mouse,1.478260047680069
Storage,1,folder,12.634820262586198
Storage,2,mailbox,11.468050960985158
Storage,3,wants,7.407870938971572
Storage,4,storage,7.130412453250203
Storage,5,shared,6.742542656778512
Storage,6,folders,5.876711153446502
Storage,7,files,4.997223923396579
Storage,8,permissions,4.953777687134972
Storage,9,mailboxes,4.38217546708468
Storage,10,file,4.3387463502423
Storage,11,increase,4.28067396254805
Storage,12,size,4.123284013991828
Storage,13,archive,4.11076183303205
Storage,14,accept,4.095257656034371
Storage,15,share,3.8955153597078316
Storage,16,full,3.759783536790313
Storage,17,location,3.691923248607523
Storage,18,decline,3.637726760661044
Storage,19,library,3.578000631846092
Storage,20,write,3.271464602181405
Storage,21,rights,3.232492878158267
Storage,22,limit,2.999998860021864
Storage,23,drive,2.939089266074341
Storage,24,archiving,2.516591326030836
Storage,25,documentation,2.2347858188786853
Storage,26,to,1.9509918532270456
Storage,27,box,1.8696036078371732
Storage,28,accountant,1.7730789571719547
Storage,29,access,1.7687255480004798
Storage,30,path,1.7226120510666945
