class,rank,feature,coefficient
Purchase,2,po,8.18079585852242
Purchase,3,installation,7.119583292563574
Purchase,4,administrator,6.780785300216749
Purchase,5,device,6.298208158721732
Purchase,6,log,5.148899258959563
Purchase,7,devices,4.457891215157512
Purchase,8,order,4.262631019330856
Purchase,9,receipt,3.832159511913449
Purchase,10,allocation,3.8134653625359625
Purchase,11,receive,3.2407323088367477
Purchase,12,item,3.209895221179032
Purchase,13,requisitions,2.8903211947696157
Purchase,14,items,2.797909350432777
Purchase,15,phone,2.776085932485975
Purchase,16,replenishment,2.7490709664324804
Purchase,17,glass,2.5513613684378247
Purchase,18,received,2.3992095723815354
Purchase,19,reservation,2.38179264335816
Purchase,20,cover,2.3156787406672623
Purchase,21,has,2.06147693640003
Purchase,22,galaxy,2.052189706261976
Purchase,23,requested,1.9924862207647531
Purchase,24,final,1.9169597541512324
Purchase,25,video,1.8507417884872603
Purchase,26,purchased,1.8379344582342398
Purchase,27,receipts,1.8126601732337106
Purchase,28,id,1.734622392472171
Purchase,29,apple,1.6452054127261284
Purchase,30,deployments,1.6211753022187962
Storage,1,folder,12.913815747943962
Storage,2,mailbox,11.753262900234532
Storage,3,wants,7.8014938619579945
Storage,4,storage,7.530799268836062
Storage,5,shared,6.969672495587573
Storage,6,folders,6.0868157175243125
Storage,7,files,5.165678608836712
Storage,8,permissions,5.096162076155313
Storage,9,mailboxes,4.64249109785136
Storage,10,file,4.58562954253616
Storage,11,archive,4.455622044323326
Storage,12,increase,4.453864705443585
Storage,13,size,4.355684713319003
Storage,14,accept,4.241442573417037
Storage,15,share,4.028904832983677
Storage,16,full,3.8877846444778035
Storage,17,location,3.8308950025100637
Storage,18,library,3.747352608800701
Storage,19,decline,3.69942277715233
Storage,20,rights,3.4618347990014517
Storage,21,write,3.371575056770483
Storage,22,limit,3.182211262934504
Storage,23,drive,3.0208871568890716
Storage,24,archiving,2.7248015649546886
Storage,25,documentation,2.2871893615171826
Storage,26,box,1.9895074842584728
Storage,27,to,1.9420223294008152
Storage,28,example,1.8789218455541903
Storage,29,accountant,1.8573109917738557
Storage,30,path,1.8532560060857213
